006385cc  00000716 R_ARM_JUMP_SLOT   0048f86c   ezxml_set_attr
00638640  00002e16 R_ARM_JUMP_SLOT   003c7ca0   SetAssignType
00638644  00002f16 R_ARM_JUMP_SLOT   00287d3c   Renault_RcvMsg_Simulat
00638648  00003016 R_ARM_JUMP_SLOT   00000000   BBPrintFuncResult
0063864c  00003116 R_ARM_JUMP_SLOT   001c5584   FillCutOffArray
00638650  00003216 R_ARM_JUMP_SLOT   002c2950   seedkey_racf_xichai_md
00638654  00003316 R_ARM_JUMP_SLOT   0039d178   GetIdentValue
00638658  00003516 R_ARM_JUMP_SLOT   00000000   __aeabi_dcmple
0063865c  00003616 R_ARM_JUMP_SLOT   003ebd6c   InstanceBargraphValue
00638660  00003816 R_ARM_JUMP_SLOT   00000000   strcpy
00638664  00003916 R_ARM_JUMP_SLOT   00382e14   DoMultHexval_Asc
00638668  00003a16 R_ARM_JUMP_SLOT   003d9a0c   DataFileAnlyse
0063866c  00003b16 R_ARM_JUMP_SLOT   004a7d4c   IOConvertPWM
00638670  00003d16 R_ARM_JUMP_SLOT   003bb004   JudgeSystem
00638674  00003e16 R_ARM_JUMP_SLOT   003702f0   CBCU_CalKey
00638678  00003f16 R_ARM_JUMP_SLOT   004f154c   BN_rshift
0063867c  00004016 R_ARM_JUMP_SLOT   004340b0   ecu_flash
00638680  00004116 R_ARM_JUMP_SLOT   002fb054   Crown_Read_Frame
00638684  00004216 R_ARM_JUMP_SLOT   002d629c   sub_1004E370
00638688  00004516 R_ARM_JUMP_SLOT   001b50d4   J1939_GetBAMData
0063868c  00004616 R_ARM_JUMP_SLOT   004444c8   HNMZD_Flow1_After_Flas
00638690  00004716 R_ARM_JUMP_SLOT   003c2c08   DoStandradBDXFFData_17
00638694  00004816 R_ARM_JUMP_SLOT   00399138   DoBDXACInit
00638698  00004916 R_ARM_JUMP_SLOT   00365d84   BOSCH_CAN_TestStart
0063869c  00004a16 R_ARM_JUMP_SLOT   001c0a60   SAIC_GetCarPin
006386a0  00004b16 R_ARM_JUMP_SLOT   003aac9c   FreeParseAvgroup
006386a4  00004f16 R_ARM_JUMP_SLOT   0013c20c   Receive_Package2
006386a8  00005116 R_ARM_JUMP_SLOT   0041e0c8   S19toBuffer_ac
006386ac  00005216 R_ARM_JUMP_SLOT   000bbec8   DecodeEscapeBytes
006386b0  00005416 R_ARM_JUMP_SLOT   00231eec   KWP_DTC_Return2GUI
006386b4  00005516 R_ARM_JUMP_SLOT   002f057c   ComputeUnlockKey
006386b8  00005816 R_ARM_JUMP_SLOT   004f656c   asn1_ex_i2c
006386bc  00005c16 R_ARM_JUMP_SLOT   00000000   Enable_Debug_Print
006386c0  00005d16 R_ARM_JUMP_SLOT   00418b00   TraXon_CalculateKey
006386c4  00005e16 R_ARM_JUMP_SLOT   004a0000   Init_Packet
006386c8  00006016 R_ARM_JUMP_SLOT   00138744   BroadcastScanSystem
006386cc  00006116 R_ARM_JUMP_SLOT   000a12b0   GetAddr_MQB
006386d0  00006216 R_ARM_JUMP_SLOT   00457a70   lua_insert
006386d4  00006416 R_ARM_JUMP_SLOT   00000000   log
006386d8  00006516 R_ARM_JUMP_SLOT   0043aff4   WFD_GetValueFormExpres
006386dc  00006616 R_ARM_JUMP_SLOT   003b2090   AddDemoCstring
006386e0  00006716 R_ARM_JUMP_SLOT   001a03c8   honda_kwp_data_parse
006386e4  00006816 R_ARM_JUMP_SLOT   003b6f50   SetGlobalSysRoot
006386e8  00006a16 R_ARM_JUMP_SLOT   00495c14   readKT800data
006386ec  00006b16 R_ARM_JUMP_SLOT   00000000   sqrt
006386f0  00006c16 R_ARM_JUMP_SLOT   003ecb68   StartButtonScanf
006386f4  00006d16 R_ARM_JUMP_SLOT   0045a0fc   lua_pcallk
006386f8  00006e16 R_ARM_JUMP_SLOT   00458850   lua_touserdata
006386fc  00007116 R_ARM_JUMP_SLOT   004553d4   WFD_GetCodingInput
00638700  00007216 R_ARM_JUMP_SLOT   004d5298   bn_mul_words
00638704  00007316 R_ARM_JUMP_SLOT   004902f8   crl_KT600
00638708  00007416 R_ARM_JUMP_SLOT   003e6520   InstanceInfotext
0063870c  00007516 R_ARM_JUMP_SLOT   0010f7c8   B2k_Parse_Act
00638710  00007716 R_ARM_JUMP_SLOT   00000000   BBPrintEnable
00638714  00007816 R_ARM_JUMP_SLOT   003c0ab8   ReadDTCParse
00638718  00007916 R_ARM_JUMP_SLOT   0029cc30   gain4
0063871c  00007b16 R_ARM_JUMP_SLOT   00399804   InstanceStep
00638720  00007c16 R_ARM_JUMP_SLOT   00000000   cosh
00638724  00007d16 R_ARM_JUMP_SLOT   0020cacc   Hash
00638728  00008016 R_ARM_JUMP_SLOT   001346a4   MultiMatching
0063872c  00008216 R_ARM_JUMP_SLOT   0024f9a0   MARRUILI_AA9_Read_Data
00638730  00008316 R_ARM_JUMP_SLOT   004413b4   HM_Return_ECU_Menu
00638734  00008516 R_ARM_JUMP_SLOT   004f0530   BN_print
00638738  00008616 R_ARM_JUMP_SLOT   004e1a9c   OBJ_create
0063873c  00008716 R_ARM_JUMP_SLOT   0039752c   AddAc2AvailableList
00638740  00008816 R_ARM_JUMP_SLOT   00258648   Moto_SendMsg
00638744  00008916 R_ARM_JUMP_SLOT   002bd620   tt_seedkey_09c_df_yh
00638748  00008a16 R_ARM_JUMP_SLOT   001339e0   FindingBuffer
0063874c  00008b16 R_ARM_JUMP_SLOT   004dbcd0   BUF_strndup
00638750  00008d16 R_ARM_JUMP_SLOT   00459084   lua_pushlightuserdata
00638754  00009016 R_ARM_JUMP_SLOT   0026c310   xml_GetMMsg_AC
00638758  00009216 R_ARM_JUMP_SLOT   003b24e8   DoDemoResponse
0063875c  00009316 R_ARM_JUMP_SLOT   0044d494   SetCircle
00638760  00009416 R_ARM_JUMP_SLOT   003ac26c   ParseavgroupList_1400
00638764  00009516 R_ARM_JUMP_SLOT   000b9e50   GetKey_WeiChai_nSeednK
00638768  00009616 R_ARM_JUMP_SLOT   000959e4   Audi_Parse_Act
0063876c  00009816 R_ARM_JUMP_SLOT   004b2f7c   GetFontStrByStr_Ex
00638770  00009916 R_ARM_JUMP_SLOT   0039d42c   BDX_GetInformative
00638774  00009a16 R_ARM_JUMP_SLOT   001145e8   B2k_Clear_Dtc_From41
00638778  00009b16 R_ARM_JUMP_SLOT   0013dc94   sub_100D6250
0063877c  00009e16 R_ARM_JUMP_SLOT   00495e6c   DiagSimUnable
00638780  00009f16 R_ARM_JUMP_SLOT   003ea6b4   InstanceCodingTextform
00638784  0000a116 R_ARM_JUMP_SLOT   002088e0   CoreTransform
00638788  0000a216 R_ARM_JUMP_SLOT   002fc5ec   Toyota_Dtc_Spy
0063878c  0000a416 R_ARM_JUMP_SLOT   00000000   ioctl
00638790  0000a616 R_ARM_JUMP_SLOT   003bf5b8   FindResponseNameref
00638794  0000a716 R_ARM_JUMP_SLOT   00000000   KT_PH_Init
00638798  0000a916 R_ARM_JUMP_SLOT   00000000   pthread_cond_signal
0063879c  0000ab16 R_ARM_JUMP_SLOT   002d1404   UAES_Calc_Key
006387a0  0000ae16 R_ARM_JUMP_SLOT   004577a8   lua_atpanic
006387a4  0000af16 R_ARM_JUMP_SLOT   001af944   GetNNType
006387a8  0000b016 R_ARM_JUMP_SLOT   003a7c30   GetAvUnitTextno
006387ac  0000b116 R_ARM_JUMP_SLOT   00000000   dlerror
006387b0  0000b216 R_ARM_JUMP_SLOT   003e6024   RefreshCoding8Dialog
006387b4  0000b316 R_ARM_JUMP_SLOT   003e7424   RefreshTimer
006387b8  0000b516 R_ARM_JUMP_SLOT   0036abb0   Send_oneMsgs_andRcv
006387bc  0000b816 R_ARM_JUMP_SLOT   003c7ec8   GetArraySizeByString
006387c0  0000b916 R_ARM_JUMP_SLOT   0029c53c   gain1
006387c4  0000ba16 R_ARM_JUMP_SLOT   002fd9d0   ToyotaCAN_Testcommand_
006387c8  0000bc16 R_ARM_JUMP_SLOT   003c12c0   GetDTCHexValue
006387cc  0000bd16 R_ARM_JUMP_SLOT   004d5784   bn_mul_comba8
006387d0  0000c016 R_ARM_JUMP_SLOT   00441f40   HNMZDencipher
006387d4  0000c116 R_ARM_JUMP_SLOT   00395ee4   GetAVValueByName
006387d8  0000c216 R_ARM_JUMP_SLOT   002bd734   seedkey_008c_wise13a_m
006387dc  0000c516 R_ARM_JUMP_SLOT   00081ac0   KtLogEnable
006387e0  0000c616 R_ARM_JUMP_SLOT   0021a1b8   do_crc_line
006387e4  0000c716 R_ARM_JUMP_SLOT   002eb0ac   __swap
006387e8  0000ca16 R_ARM_JUMP_SLOT   00322500   Cacal_PIN
006387ec  0000cc16 R_ARM_JUMP_SLOT   0022d56c   SAIC_BCMCaculateCRC
006387f0  0000cd16 R_ARM_JUMP_SLOT   00212170   Kwp_Check_Cmd
006387f4  0000d116 R_ARM_JUMP_SLOT   004492f0   PushTimeoutRegionStack
006387f8  0000d416 R_ARM_JUMP_SLOT   00445630   RefreshInfoDialog
006387fc  0000d816 R_ARM_JUMP_SLOT   002e9548   seedkey_jl_ftqs_xxjqs2
00638800  0000da16 R_ARM_JUMP_SLOT   004cc130   BN_set_negative
00638804  0000db16 R_ARM_JUMP_SLOT   003b0a38   GetFFdataRequest
00638808  0000df16 R_ARM_JUMP_SLOT   00457e48   lua_isnumber
0063880c  0000e016 R_ARM_JUMP_SLOT   003dd650   GetCurrentYMD
00638810  0000e116 R_ARM_JUMP_SLOT   0049a174   std_strToHex_1
00638814  0000e216 R_ARM_JUMP_SLOT   0039a5e8   DoBDXACExit
00638818  0000e316 R_ARM_JUMP_SLOT   00000000   printf
0063881c  0000e516 R_ARM_JUMP_SLOT   0039b77c   Create_ComLogicalLink
00638820  0000e716 R_ARM_JUMP_SLOT   000bea60   landip40_seed2key
00638824  0000ea16 R_ARM_JUMP_SLOT   003c68b8   RefreshActuatorAV4Dial
00638828  0000eb16 R_ARM_JUMP_SLOT   00000000   vsprintf
0063882c  0000ec16 R_ARM_JUMP_SLOT   001639d8   All_Parse_Act
00638830  0000ee16 R_ARM_JUMP_SLOT   000845cc   MsgDelete
00638834  0000ef16 R_ARM_JUMP_SLOT   004f23a4   BN_div_recp
00638838  0000f316 R_ARM_JUMP_SLOT   003dd0d4   String2IntLL
0063883c  0000f416 R_ARM_JUMP_SLOT   003be95c   DoBDXReadFFdataComm
00638840  0000f716 R_ARM_JUMP_SLOT   00399bd0   ShowACStatus
00638844  0000f816 R_ARM_JUMP_SLOT   002dce7c   sha1_final
00638848  0000fb16 R_ARM_JUMP_SLOT   00416f04   WFD_Dealwith_Node_Disc
0063884c  0000fc16 R_ARM_JUMP_SLOT   002e1d54   sha1_update_copy1
00638850  0000fd16 R_ARM_JUMP_SLOT   000b8294   GetKey_QingLing_4Seed4
00638854  00010216 R_ARM_JUMP_SLOT   000be720   landip30_seed2key
00638858  00010716 R_ARM_JUMP_SLOT   004199b0   Edit_1B0000
0063885c  00010816 R_ARM_JUMP_SLOT   003c4cd8   ReadDTCHandlingParse
00638860  00010916 R_ARM_JUMP_SLOT   004b3d74   convertGB2312ToUTF8
00638864  00010c16 R_ARM_JUMP_SLOT   0049fac0   XmlGetProtocol
00638868  00010d16 R_ARM_JUMP_SLOT   00172e64   DIAG_ReadVerComm
0063886c  00011016 R_ARM_JUMP_SLOT   0039e798   GetServicecallRequest
00638870  00011216 R_ARM_JUMP_SLOT   001a59a4   Honda_Spy_AC
00638874  00011316 R_ARM_JUMP_SLOT   003c43c8   DoBDXFFdataSubParse
00638878  00011416 R_ARM_JUMP_SLOT   003e979c   InstanceHexedit
0063887c  00011516 R_ARM_JUMP_SLOT   0038c364   DoWFD
00638880  00011616 R_ARM_JUMP_SLOT   002ba3e8   vmethod_3
00638884  00011716 R_ARM_JUMP_SLOT   00192374   Gm_Yk
00638888  00011816 R_ARM_JUMP_SLOT   004d90d0   RSA_padding_add_PKCS1_
0063888c  00011916 R_ARM_JUMP_SLOT   002dcde0   sha1_reset
00638890  00011d16 R_ARM_JUMP_SLOT   00000000   connect
00638894  00011e16 R_ARM_JUMP_SLOT   00367640   BOSCH_HighPressure
00638898  00011f16 R_ARM_JUMP_SLOT   002919b4   Rotate
0063889c  00012016 R_ARM_JUMP_SLOT   004f4fcc   c2i_ASN1_OBJECT
006388a0  00012216 R_ARM_JUMP_SLOT   0043d0b0   GetExpressionValueSub_
006388a4  00012316 R_ARM_JUMP_SLOT   004dea8c   sk_new_null
006388a8  00012416 R_ARM_JUMP_SLOT   003bda80   LoadMultiTroublecodes
006388ac  00012616 R_ARM_JUMP_SLOT   00390f50   RefreshAvPoolResbufDem
006388b0  00012716 R_ARM_JUMP_SLOT   000b7c14   GetKey_2018_01_29_16_4
006388b4  00012916 R_ARM_JUMP_SLOT   004cd940   RAND_set_rand_method
006388b8  00012b16 R_ARM_JUMP_SLOT   002bceb8   seedkey_008c_31c
006388bc  00012d16 R_ARM_JUMP_SLOT   00455030   WFD_RefreshCoding8Dial
006388c0  00012e16 R_ARM_JUMP_SLOT   00182d88   xml_GetBackProtocol
006388c4  00013016 R_ARM_JUMP_SLOT   00000000   ungetc
006388c8  00013116 R_ARM_JUMP_SLOT   002bb1ec   sub_10001360
006388cc  00013216 R_ARM_JUMP_SLOT   004decc0   lh_free
006388d0  00013416 R_ARM_JUMP_SLOT   0012d81c   BMW_Replace_Check_Xor
006388d4  00013616 R_ARM_JUMP_SLOT   00456a38   CreateBargraph4DialogN
006388d8  00013716 R_ARM_JUMP_SLOT   00449488   InitEscapeRegionStack
006388dc  00013816 R_ARM_JUMP_SLOT   004f918c   asn1_do_adb
006388e0  00013916 R_ARM_JUMP_SLOT   003c5050   GetDtcRawValue
006388e4  00013c16 R_ARM_JUMP_SLOT   00448088   RefreshSelectionDialog
006388e8  00013d16 R_ARM_JUMP_SLOT   003d4fa4   InitVci
006388ec  00013f16 R_ARM_JUMP_SLOT   004f26e4   BN_RECP_CTX_free
006388f0  00014016 R_ARM_JUMP_SLOT   003e6cd4   RefreshHeader
006388f4  00014116 R_ARM_JUMP_SLOT   001bab48   KMS_Read_FreezeData_Co
006388f8  00014216 R_ARM_JUMP_SLOT   002c2bf4   seedkey_09c_feup
006388fc  00014316 R_ARM_JUMP_SLOT   00000000   File_Debug_CAPP
00638900  00014416 R_ARM_JUMP_SLOT   002efaac   Bytes2Long
00638904  00014716 R_ARM_JUMP_SLOT   004e1e8c   OBJ_dup
00638908  00014816 R_ARM_JUMP_SLOT   00452b14   CreateActuatorAV4Dialo
0063890c  00014916 R_ARM_JUMP_SLOT   003b5050   DoStartComm
00638910  00014a16 R_ARM_JUMP_SLOT   00000000   PH_Receive_Package
00638914  00014b16 R_ARM_JUMP_SLOT   0017a690   xml_CreateTgtPath
00638918  00014d16 R_ARM_JUMP_SLOT   004b4e28   CAPP_GetTextByNumber_S
0063891c  00014e16 R_ARM_JUMP_SLOT   003bce9c   LoadBaseFunctionFiles
00638920  00014f16 R_ARM_JUMP_SLOT   0029569c   LoadEK
00638924  00015216 R_ARM_JUMP_SLOT   001bc7a0   CountorPlus
00638928  00015416 R_ARM_JUMP_SLOT   0023f3b4   Kwp_bosch_FreezeData_P
0063892c  00015516 R_ARM_JUMP_SLOT   00128e5c   Benz_Clear_Dtc
00638930  00015616 R_ARM_JUMP_SLOT   002e1f28   sha1_reset_copy1
00638934  00015716 R_ARM_JUMP_SLOT   001bad80   KMS_Read_FreezeData
00638938  00015816 R_ARM_JUMP_SLOT   00000000   pthread_create
0063893c  00015916 R_ARM_JUMP_SLOT   003b0ec4   AddDemoOctect
00638940  00015a16 R_ARM_JUMP_SLOT   0038f500   DoBDXAVList
00638944  00015b16 R_ARM_JUMP_SLOT   002d65b0   sub_1004E430
00638948  00015c16 R_ARM_JUMP_SLOT   000b3028   Get_Judge_Result_0x98
0063894c  00015d16 R_ARM_JUMP_SLOT   00419fd4   strlwr
00638950  00015e16 R_ARM_JUMP_SLOT   00258794   Moto_RcvMsgs
00638954  00015f16 R_ARM_JUMP_SLOT   002f7080   Toyota_Read_Frame
00638958  00016016 R_ARM_JUMP_SLOT   0039e818   DealNodecriterionpart
0063895c  00016116 R_ARM_JUMP_SLOT   000a6dfc   DieselPathCorrect
00638960  00016216 R_ARM_JUMP_SLOT   00120bc0   Benz_RecvMsgs_CK
00638964  00016516 R_ARM_JUMP_SLOT   000b8984   Man_ConfuseBits_2
00638968  00016616 R_ARM_JUMP_SLOT   00183190   xml_GetInitEcuDB
0063896c  00016816 R_ARM_JUMP_SLOT   00126d70   Benz_Read_Frame
00638970  00016916 R_ARM_JUMP_SLOT   00143640   Cummins_Spy_Match
00638974  00016b16 R_ARM_JUMP_SLOT   001c0ba4   YOUNG_GetCarVinCode
00638978  00016c16 R_ARM_JUMP_SLOT   004b1f04   GetFontStrByU32
0063897c  00016e16 R_ARM_JUMP_SLOT   004f283c   BN_MONT_CTX_set
00638980  00016f16 R_ARM_JUMP_SLOT   0038b4f8   luaFerror
00638984  00017116 R_ARM_JUMP_SLOT   00088560   Audi_SendAck
00638988  00017216 R_ARM_JUMP_SLOT   0029e944   seedkey_qingka_guosix_
0063898c  00017316 R_ARM_JUMP_SLOT   00396e60   FilterAvailableAvs
00638990  00017416 R_ARM_JUMP_SLOT   002557c4   Mitsub_System_INFO
00638994  00017516 R_ARM_JUMP_SLOT   00000000   strerror
00638998  00017716 R_ARM_JUMP_SLOT   003ab2a4   FreeParseSystemKeyList
0063899c  00017816 R_ARM_JUMP_SLOT   003bead4   DoBDXReadDTCHelp
006389a0  00017d16 R_ARM_JUMP_SLOT   003e25a8   AnalysPathandMD5
006389a4  00017e16 R_ARM_JUMP_SLOT   0049a4b4   std_strToHex_1_Ex
006389a8  00018016 R_ARM_JUMP_SLOT   00000000   PH_Disconnect
006389ac  00018216 R_ARM_JUMP_SLOT   0044f4e4   CreateAv8DialogNode
006389b0  00018316 R_ARM_JUMP_SLOT   00190f40   Gm_Read_Data_Sub
006389b4  00018416 R_ARM_JUMP_SLOT   00132170   BMW_Init_ECU_Try
006389b8  00018516 R_ARM_JUMP_SLOT   002905a8   Chery_Key
006389bc  00018616 R_ARM_JUMP_SLOT   000b9d90   GetKey_WeiChai_nSeednK
006389c0  00018b16 R_ARM_JUMP_SLOT   003ab3f4   FreeParseDTC
006389c4  00018e16 R_ARM_JUMP_SLOT   001c9930   WeiChai_Act_Data
006389c8  00018f16 R_ARM_JUMP_SLOT   00084550   CheckSysCommand
006389cc  00019116 R_ARM_JUMP_SLOT   0013da0c   sub_100D6030
006389d0  00019216 R_ARM_JUMP_SLOT   0039053c   IsAvIDExistInAvComUnit
006389d4  00019316 R_ARM_JUMP_SLOT   001fda50   CNG_AdjustData_Packing
006389d8  00019416 R_ARM_JUMP_SLOT   004641a0   lua_sethook
006389dc  00019616 R_ARM_JUMP_SLOT   0022cc74   SAIC_SendRev
006389e0  00019716 R_ARM_JUMP_SLOT   002f0354   sub_10001780
006389e4  00019916 R_ARM_JUMP_SLOT   0021cd1c   KWP_Read_Dtc_Communica
006389e8  00019a16 R_ARM_JUMP_SLOT   00133af0   FindingString
006389ec  00019b16 R_ARM_JUMP_SLOT   003a2dd0   LuaApp_ReadAVList
006389f0  00019c16 R_ARM_JUMP_SLOT   0045086c   WFD_RefreshSelectionDi
006389f4  00019d16 R_ARM_JUMP_SLOT   000b86f4   GetKey_2017_10_18_11_0
006389f8  00019f16 R_ARM_JUMP_SLOT   003ddf74   InputFirmwareVer
006389fc  0001a116 R_ARM_JUMP_SLOT   0017ac64   CreateDbPath2Auto
00638a00  0001a216 R_ARM_JUMP_SLOT   000f92ac   B2k_Parse_Ver
00638a04  0001a316 R_ARM_JUMP_SLOT   00114cd8   getSBoxRcon
00638a08  0001a416 R_ARM_JUMP_SLOT   004fb7a4   i2c_ASN1_INTEGER
00638a0c  0001a516 R_ARM_JUMP_SLOT   004f9160   asn1_set_choice_select
00638a10  0001a816 R_ARM_JUMP_SLOT   003ba64c   FreeSystemsID
00638a14  0001aa16 R_ARM_JUMP_SLOT   0012ce20   BMW_Read_DTC_ByBit
00638a18  0001ab16 R_ARM_JUMP_SLOT   00374258   Dataflow_GetName_Ex
00638a1c  0001ac16 R_ARM_JUMP_SLOT   00000000   memmove
00638a20  0001ad16 R_ARM_JUMP_SLOT   003d5c84   CA_RDS_ReadVer
00638a24  0001ae16 R_ARM_JUMP_SLOT   0010f73c   B2k_Act_Data
00638a28  0001b216 R_ARM_JUMP_SLOT   000b9428   FindID
00638a2c  0001b316 R_ARM_JUMP_SLOT   000a4bd8   AudiUDS_AutoSearchIden
00638a30  0001b416 R_ARM_JUMP_SLOT   00435328   ecuflashKTdata
00638a34  0001b516 R_ARM_JUMP_SLOT   0023eb3c   Kwp_bosch_Enviromental
00638a38  0001b716 R_ARM_JUMP_SLOT   0045a2f0   lua_load
00638a3c  0001b816 R_ARM_JUMP_SLOT   004384dc   StrToFloat
00638a40  0001ba16 R_ARM_JUMP_SLOT   003905f4   RefreshAvCommPoolConte
00638a44  0001bb16 R_ARM_JUMP_SLOT   000b016c   GenerateKeyEx_INSII
00638a48  0001bc16 R_ARM_JUMP_SLOT   0036a780   BOSCH_Compression_II
00638a4c  0001bd16 R_ARM_JUMP_SLOT   002cbad0   sub_96498_sha1
00638a50  0001bf16 R_ARM_JUMP_SLOT   0039890c   FindACByID
00638a54  0001c216 R_ARM_JUMP_SLOT   00084728   JudgeAddTimeCommuWay
00638a58  0001c416 R_ARM_JUMP_SLOT   004da450   ENGINE_get_first
00638a5c  0001c516 R_ARM_JUMP_SLOT   00416558   Diesel_flash_spyECU
00638a60  0001c616 R_ARM_JUMP_SLOT   00164058   List_Spy_Stream
00638a64  0001cb16 R_ARM_JUMP_SLOT   004f5904   X509_SIG_free
00638a68  0001cc16 R_ARM_JUMP_SLOT   004f2714   BN_RECP_CTX_init
00638a6c  0001cd16 R_ARM_JUMP_SLOT   003bd124   SV_SystemkeyInitAndLoa
00638a70  0001d116 R_ARM_JUMP_SLOT   00447f88   ShowSelectionDialogWit
00638a74  0001d316 R_ARM_JUMP_SLOT   00148fac   Cummins_Act_Data
00638a78  0001d516 R_ARM_JUMP_SLOT   003592b8   TE_StPush
00638a7c  0001d616 R_ARM_JUMP_SLOT   00087bd4   DiagFCheck
00638a80  0001d716 R_ARM_JUMP_SLOT   001cb7fc   CHANGAN_TPMS_Conversio
00638a84  0001d816 R_ARM_JUMP_SLOT   0045c3d0   luaL_addlstring
00638a88  0001d916 R_ARM_JUMP_SLOT   00435da0   flashReadFile
00638a8c  0001df16 R_ARM_JUMP_SLOT   0037a56c   Hex_to_Float
00638a90  0001e016 R_ARM_JUMP_SLOT   002d666c   sub_1004E890
00638a94  0001e116 R_ARM_JUMP_SLOT   003e9e84   InstanceHexout
00638a98  0001e416 R_ARM_JUMP_SLOT   000bf410   YaC_seed2key_A0
00638a9c  0001e616 R_ARM_JUMP_SLOT   003b42b0   DllCall
00638aa0  0001e816 R_ARM_JUMP_SLOT   000a13f4   GetSpySystem_MQB
00638aa4  0001e916 R_ARM_JUMP_SLOT   004cbc78   BN_num_bits_word
00638aa8  0001ea16 R_ARM_JUMP_SLOT   00182e6c   xml_GetInitProtocol
00638aac  0001eb16 R_ARM_JUMP_SLOT   002ba2e8   method_7
00638ab0  0001ec16 R_ARM_JUMP_SLOT   004d0718   CRYPTO_get_ex_data
00638ab4  0001ed16 R_ARM_JUMP_SLOT   003dd7e8   GetReceiveType
00638ab8  0001ee16 R_ARM_JUMP_SLOT   0031919c   Function_Test_Toyota
00638abc  0001ef16 R_ARM_JUMP_SLOT   002bc200   tt_seed2key_delphi_1jy
00638ac0  0001f016 R_ARM_JUMP_SLOT   003850d0   HM_Change_offset
00638ac4  0001f216 R_ARM_JUMP_SLOT   004dbc78   BUF_strlcat
00638ac8  0001f316 R_ARM_JUMP_SLOT   0036a020   BOSCH_ShutOff
00638acc  0001f416 R_ARM_JUMP_SLOT   003e63f4   RefreshInfobox
00638ad0  0001f516 R_ARM_JUMP_SLOT   002bd8d8   seedkey_racfa_bosch_cv
00638ad4  0001f616 R_ARM_JUMP_SLOT   002b9ed4   seedkey_jianghuai_324
00638ad8  0001f816 R_ARM_JUMP_SLOT   003935ec   GetNextToken_ex
00638adc  0001f916 R_ARM_JUMP_SLOT   000a6ea8   myStr2hex
00638ae0  0001fe16 R_ARM_JUMP_SLOT   004cd6f4   ENGINE_finish
00638ae4  0001ff16 R_ARM_JUMP_SLOT   004b3e64   IsTextNumber
00638ae8  00020116 R_ARM_JUMP_SLOT   0039ec4c   GetMatchString
00638aec  00020216 R_ARM_JUMP_SLOT   004cc774   BN_bin2bn
00638af0  00020516 R_ARM_JUMP_SLOT   000b075c   GenerateKeyEx_EBS5
00638af4  00020616 R_ARM_JUMP_SLOT   00456398   CreateBargraphDialogNo
00638af8  00020716 R_ARM_JUMP_SLOT   0026f7b0   xml_GetNissanDataBaseP
00638afc  00020a16 R_ARM_JUMP_SLOT   003bbb28   GetSystemkeyListRoot
00638b00  00020b16 R_ARM_JUMP_SLOT   00459264   lua_getfield
00638b04  00020c16 R_ARM_JUMP_SLOT   0044722c   RefreshPieChartDialog
00638b08  00020d16 R_ARM_JUMP_SLOT   00000000   PH_Connect
00638b0c  00020f16 R_ARM_JUMP_SLOT   003b19c8   AddMuxDemoEleResIntoBu
00638b10  00021116 R_ARM_JUMP_SLOT   001831ec   xml_GetComList
